Hotel Name,Price,Star-Rating
Reberty Haneda,US$94,N/A
Best Western Yokohama,US$105,3
"【Hotel Futaba HeightsC】good access, up to 5 guests",US$106,N/A
-Takaya house- Minamirokugou close Haneda AP,US$112,N/A
OPUS Haneda,US$114,N/A
ボンアート瀬田,US$121,N/A
Riverside Omori,US$123,N/A
Ai Hotel Keikyu Kamata,US$128,3
Zenith Garden TOGOSHI,US$129,N/A
Minn Kamata,US$132,3
Red Roof Inn Kamata / Haneda Tokyo,US$121,3
"Omorimachi Station - Close to the airport, spacious room, rare Maisonette type",US$146,N/A
Hotel Toms,US$151,3
Hotel Oriental Express Tokyo Kamata,US$154,3
APA Hotel TKP Keikyu Kawasaki Ekimae,US$156,3
Kawasaki King Skyfront Tokyu REI Hotel,US$157,3
Fontaine Kamata,US$157,N/A
2Rooms Haneda,US$149,N/A
SKYE HOMEⅡ本羽田,US$170,N/A
HOTEL AMANEK Kamata-Eki Mae,US$171,3
Theatel Haneda Ⅱ,US$172,3
Sotetsu Fresa Inn Kawasaki-Higashiguchi,US$173,3
Henn na Hotel Tokyo Haneda,US$157,3
Dormy Inn Kawasaki Natural Hot Spring,US$175,3
Minn Haneda Airport,US$179,N/A
APA Hotel Keikyukamata Ekimae,US$180,3
QuintessaHotel TokyoHaneda Comic&Books,US$180,3
R's Forest Inn,US$183,3
Richmond Hotel Premier Musashikosugi,US$189,4
Eternity APARTMENT HOTEL SHINAGAWA,US$192,N/A
#303WZNET梅屋敷バルコニー付き駅1分羽田空港品川12分Netflix無料,US$193,N/A
APA Hotel Kamata Ekimae,US$195,3
HOTEL ASYL TOKYO KAMATA,US$202,4
HOTEL Enmichi,US$204,3
